coachID,games,currentWinRate
adamsmi01w,34,0.5
adubari99w,218,0.53
aglerbr99w,151,0.5
allenso99w,44,0.61
bibbyhe01w,28,0.46
boguemu01w,44,0.32
bouceje01w,81,0.49
brownde01w,58,0.38
bryanjo01w,40,0.72
chancva99w,232,0.6
coopecy01w,42,0.45
coopemi01w,252,0.66
cowenda01w,34,0.15
coylepa99w,171,0.47
dailesh99w,20,0.45
darscna99w,20,0.45
donovan99w,283,0.51
dunnli99wc,164,0.44
dunntr01wc,32,0.25
fortnne99w,98,0.43
gaineco01w,68,0.57
gilloje01w,34,0.41
grafca99wc,68,0.49
hargrli99w,96,0.39
harveca99w,73,0.55
hugheda99w,300,0.48
jenkica99w,11,0.09
kenlaje99w,12,0.17
keyst99wc,68,0.41
laceytr99w,92,0.4
laimbbi01w,229,0.6
liebena01w,32,0.44
maherto99w,32,0.31
mahorri01w,31,0.55
mcconsu01w,125,0.47
mchugma99w,70,0.5
meadoma99w,68,0.32
millech99w,32,0.62
overtbo99w,34,0.41
peckca99wc,64,0.45
plankju99w,34,0.47
rollitr01w,52,0.46
rothsro99w,96,0.5
sharpli99w,22,0.23
shumajo01w,34,0.24
stanlma99w,66,0.39
thibami99w,238,0.6
thompka99w,82,0.5
vandehe99w,13,0.31
walkeda01w,12,0.42
weisery99w,14,0.79
westhpa99w,68,0.6
whisejo99w,139,0.61
willifr99w,45,0.51
willigr99w,42,0.24
wintebr01w,136,0.57
zierddo99w,68,0.38
