name,Turnovers,Steals and Blocks,Assists,Rebounds
Atlanta Dream,17.676470588235293,14.117647058823529,16.08823529411765,71.55882352941177
Chicago Sky,14.382352941176471,11.588235294117647,15.647058823529411,65.8529411764706
Connecticut Sun,16.147058823529413,10.970588235294118,17.88235294117647,72.29411764705883
Detroit Shock,15.617647058823529,11.441176470588236,16.91176470588235,68.44117647058823
Indiana Fever,18.764705882352942,11.382352941176471,15.5,67.32352941176471
Los Angeles Sparks,13.617647058823529,12.205882352941176,17.264705882352942,67.58823529411765
Minnesota Lynx,15.970588235294118,11.470588235294118,14.970588235294118,66.23529411764706
New York Liberty,16.11764705882353,11.558823529411764,15.470588235294118,67.17647058823529
Phoenix Mercury,13.529411764705882,11.852941176470589,18.38235294117647,72.79411764705883
Sacramento Monarchs,16.941176470588236,12.029411764705882,15.882352941176471,64.17647058823529
San Antonio Silver Stars,14.764705882352942,11.411764705882353,17.58823529411765,65.79411764705883
Seattle Storm,16.323529411764707,11.941176470588236,15.764705882352942,64.17647058823529
Washington Mystics,16.941176470588236,13.852941176470589,13.323529411764707,67.70588235294117
