playoff,year,tmID,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game
N,9,ATL,0.058823529411764705,0.17647058823529413,0.1,1.1222320637732506,0.4769707705934455,84.67647058823529,0.5612244897959183,0.4769707705934455,0.8296795952782462,8.382352941176471,4.176470588235294
Y,10,ATL,0.7058823529411765,0.35294117647058826,0.45454545454545453,1.17833607907743,0.5185337726523888,82.26470588235294,0.4968260685569192,0.5185337726523888,0.9271186440677966,9.676470588235293,3.5588235294117645
N,1,CHA,0.3125,0.1875,0.23809523809523808,1.1487125591171834,0.4913294797687861,75.90625,0.5129533678756477,0.4913294797687861,1.1108870967741935,6.9375,2.8125
Y,2,CHA,0.6875,0.4375,0.7142857142857143,1.154494382022472,0.5325842696629214,62.78125,0.4934994582881907,0.5325842696629214,0.9852320675105485,6.78125,3.5625
Y,3,CHA,0.6875,0.4375,0.5714285714285714,1.2519553072625698,0.5335195530726257,66.65625,0.5063641394576647,0.5335195530726257,1.2156862745098038,7.53125,3.28125
Y,4,CHA,0.7647058823529411,0.29411764705882354,0.5,1.178628389154705,0.5162147793726741,64.55882352941177,0.5294426919032598,0.5162147793726741,1.0040241448692153,8.205882352941176,3.3823529411764706
N,5,CHA,0.5882352941176471,0.35294117647058826,0.4,1.1995412844036697,0.5,63.76470588235294,0.515527950310559,0.5,0.8893528183716075,6.176470588235294,3.9411764705882355
N,6,CHA,0.29411764705882354,0.058823529411764705,0.2,1.0951385258755881,0.483533716675379,68.67647058823529,0.558792372881356,0.483533716675379,0.9214953271028037,8.352941176470589,3.323529411764706
N,7,CHA,0.4117647058823529,0.23529411764705882,0.3,1.1276400367309458,0.5022956841138659,75.61764705882354,0.5770125639832481,0.5022956841138659,0.9181184668989547,9.264705882352942,4.5588235294117645
N,7,CHI,0.17647058823529413,0.11764705882352941,0.2,1.0675862068965518,0.4767816091954023,79.02941176470588,0.5770843036795529,0.4767816091954023,0.9658444022770398,8.147058823529411,3.676470588235294
N,8,CHI,0.35294117647058826,0.47058823529411764,0.3,1.108915239350022,0.5116381203337725,76.79411764705883,0.5461435577351761,0.5116381203337725,1.1705882352941177,7.705882352941177,3.2941176470588234
N,9,CHI,0.47058823529411764,0.23529411764705882,0.5,1.177142857142857,0.5366666666666666,73.82352941176471,0.5265546981389015,0.5366666666666666,1.0438095238095237,7.911764705882353,4.382352941176471
N,10,CHI,0.7058823529411765,0.23529411764705882,0.45454545454545453,1.2045880149812733,0.5070224719101124,79.20588235294117,0.509475539885412,0.5070224719101124,1.0,7.323529411764706,4.0588235294117645
Y,1,CLE,0.8125,0.25,0.6190476190476191,1.1952954048140043,0.5109409190371991,66.3125,0.4957410562180579,0.5109409190371991,1.0018587360594795,8.09375,2.84375
Y,2,CLE,0.875,0.5,0.7142857142857143,1.1322033898305084,0.5418079096045197,55.875,0.5106017191977077,0.5418079096045197,1.132882882882883,8.34375,2.59375
N,3,CLE,0.25,0.375,0.3333333333333333,1.1379120879120879,0.5324175824175824,66.875,0.5005452562704471,0.5324175824175824,1.06430155210643,6.90625,2.59375
Y,4,CLE,0.6470588235294118,0.35294117647058826,0.5416666666666666,1.128607594936709,0.5412658227848102,65.0,0.5210171250648676,0.5412658227848102,1.109442060085837,6.647058823529412,2.5294117647058822
Y,4,CON,0.5882352941176471,0.47058823529411764,0.4583333333333333,1.1341579448144625,0.5209324452901998,70.8529411764706,0.5598859315589354,0.5209324452901998,1.1981566820276497,7.9411764705882355,3.264705882352941
Y,5,CON,0.5882352941176471,0.47058823529411764,0.7,1.1384690394929302,0.5095075572891272,67.76470588235294,0.532565130260521,0.5095075572891272,1.2380952380952381,8.794117647058824,2.823529411764706
Y,6,CON,0.8235294117647058,0.7058823529411765,0.65,1.2217283950617284,0.5481481481481482,66.0,0.5133333333333333,0.5481481481481482,1.2676991150442478,6.9411764705882355,3.823529411764706
Y,7,CON,0.8235294117647058,0.7058823529411765,0.75,1.2107400722021662,0.572202166064982,71.08823529411765,0.4891811624946967,0.572202166064982,1.2256809338521402,7.411764705882353,4.5
Y,8,CON,0.47058823529411764,0.5882352941176471,0.5,1.1495487752470992,0.5251396648044693,76.26470588235294,0.5088476478204574,0.5251396648044693,1.1462962962962964,8.0,4.588235294117647
Y,9,CON,0.7647058823529411,0.47058823529411764,0.65,1.1767279090113736,0.541994750656168,74.73529411764706,0.5253940455341506,0.541994750656168,1.2464065708418892,6.205882352941177,2.8529411764705883
N,10,CON,0.7058823529411765,0.23529411764705882,0.45454545454545453,1.1133977320453592,0.497270054598908,78.05882352941177,0.5697674418604651,0.497270054598908,1.3421633554083885,7.352941176470588,3.823529411764706
N,1,DET,0.5,0.375,0.47619047619047616,1.1772727272727272,0.49747474747474746,75.8125,0.4936451448906965,0.49747474747474746,0.9490566037735849,8.125,2.75
N,2,DET,0.375,0.25,0.3333333333333333,1.098746081504702,0.493730407523511,70.90625,0.5340228633641807,0.493730407523511,0.9417670682730924,7.03125,2.5625
N,3,DET,0.4375,0.125,0.2857142857142857,1.1016154247003647,0.5622720166753518,70.8125,0.4954637096774194,0.5622720166753518,0.8835489833641405,6.28125,4.125
Y,4,DET,0.7647058823529411,0.7058823529411765,0.75,1.2739520958083832,0.6137724550898204,70.44117647058823,0.4654418197725284,0.6137724550898204,0.8963815789473685,7.735294117647059,4.647058823529412
Y,5,DET,0.47058823529411764,0.5294117647058824,0.55,1.12827849308536,0.5579399141630901,70.02941176470588,0.5028598665395615,0.5579399141630901,1.0994152046783625,8.147058823529411,4.352941176470588
Y,6,DET,0.7058823529411765,0.23529411764705882,0.55,1.090776699029126,0.5898058252427184,67.26470588235294,0.5233933161953728,0.5898058252427184,0.830122591943958,7.088235294117647,4.5588235294117645
Y,7,DET,0.8235294117647058,0.5294117647058824,0.7,1.1382882882882883,0.5792792792792792,70.11764705882354,0.5006928406466513,0.5792792792792792,1.0651769087523277,6.264705882352941,4.029411764705882
Y,8,DET,0.7058823529411765,0.7058823529411765,0.7,1.1928350287483414,0.5798319327731093,74.70588235294117,0.48143236074270557,0.5798319327731093,0.99822695035461,6.676470588235294,3.4411764705882355
Y,9,DET,0.8235294117647058,0.47058823529411764,0.8,1.1642701525054466,0.5437908496732026,74.17647058823529,0.504416550441655,0.5437908496732026,1.217741935483871,8.176470588235293,3.4705882352941178
Y,10,DET,0.6470588235294118,0.4117647058823529,0.5,1.1646903820816865,0.5384277558190602,77.76470588235294,0.5002271694684235,0.5384277558190602,1.0531135531135531,7.676470588235294,2.8529411764705883
Y,1,HOU,0.875,0.8125,0.8095238095238095,1.3067581837381204,0.5263991552270327,64.5625,0.46542827657378744,0.5263991552270327,1.1227272727272728,8.875,3.25
Y,2,HOU,0.6875,0.5,0.6190476190476191,1.0728511530398324,0.5545073375262054,62.3125,0.5215082315454063,0.5545073375262054,0.9770642201834863,7.84375,2.96875
Y,3,HOU,0.875,0.625,0.7619047619047619,1.1653543307086613,0.562992125984252,59.125,0.5175531914893617,0.562992125984252,0.989010989010989,8.125,3.9375
Y,4,HOU,0.8235294117647058,0.35294117647058826,0.5833333333333334,1.1711899791231732,0.5375782881002088,63.0,0.49556650246305417,0.5375782881002088,1.0333333333333334,6.794117647058823,3.7941176470588234
N,5,HOU,0.5294117647058824,0.23529411764705882,0.3181818181818182,1.1262286601138127,0.5354371443352303,65.02941176470588,0.525398406374502,0.5354371443352303,0.9318181818181818,7.117647058823529,3.1470588235294117
Y,6,HOU,0.6470588235294118,0.47058823529411764,0.5,1.2026041666666667,0.5,66.55882352941177,0.49434156378600824,0.5,1.0988235294117648,7.235294117647059,3.088235294117647
