playerID,year
thompti01w,1
leslili01w,2
leslili01w,3
teaslni01w,4
swoopsh01w,6
douglka01w,7
fordch01w,8
cashsw01w,10
coopemi01w,1
hugheda99w,2
stanlma99w,3
laimbbi01w,4
mcconsu01w,5
whisejo99w,6
thibami99w,7
hugheda99w,8
thibami99w,9
meadoma99w,10
swoopsh01w,1
blackde01w,2
swoopsh01w,3
swoopsh01w,4
leslili01w,5
catchta01w,6
catchta01w,7
jacksla01w,8
leslili01w,9
catchta01w,10
lawsoka01w,10
mcconsu01w,1
wickssu01w,2
gilloje01w,3
campbed01w,4
edwarte01w,5
mcwilta01w,6
staleda01w,7
beviltu01w,8
johnsvi01w,9
phillta01w,1
arcaija01w,2
milleco01w,3
snowmi01w,4
milleke01w,5
palmewe01w,5
mccarja01w,8
hoffmeb01w,9
langhcr01w,10
swoopsh01w,1
leslili01w,2
swoopsh01w,3
jacksla01w,4
leslili01w,5
swoopsh01w,6
leslili01w,7
jacksla01w,8
parkeca01w,9
tauradi01w,10
lennobe01w,1
stileja01w,2
catchta01w,3
fordch01w,4
tauradi01w,5
johnste01w,6
augusse01w,7
pricear01w,8
parkeca01w,9
mccouan01w,10
pierspl01w,8
wiggica01w,9
bonnede01w,10
coopecy01w,1
leslili01w,2
leslili01w,3
rileyru01w,4
lennobe01w,5
griffyo01w,6
nolande01w,7
pondeca01w,8
smithka01w,9
tauradi01w,10
birdsu01w,7
catchta01w,7
coopecy01w,7
griffyo01w,7
jacksla01w,7
leslili01w,7
smithka01w,7
staleda01w,7
swoopsh01w,7
thompti01w,7
boltoru01w,7
holdsch01w,7
penicti01w,7
tauradi01w,7
weathte01w,7
